iter	Passed	Remaining
0	145	145341
1	147	73440
2	148	49389
3	150	37357
4	151	30178
5	153	25375
6	154	21937
7	156	19371
8	157	17360
9	159	15761
10	160	14441
11	162	13342
12	163	12409
13	164	11617
14	166	10930
15	168	10333
16	169	9811
17	171	9336
18	172	8916
19	174	8534
20	175	8189
21	177	7870
22	178	7581
23	179	7314
24	181	7071
25	182	6845
26	184	6635
27	185	6443
28	187	6266
29	188	6101
30	190	5943
31	191	5793
32	192	5652
33	194	5525
34	195	5401
35	197	5283
36	198	5172
37	200	5068
38	201	4969
39	203	4876
40	204	4787
41	206	4705
42	207	4625
43	209	4545
44	210	4467
45	212	4396
46	213	4327
47	214	4261
48	216	4202
49	217	4140
50	219	4086
51	221	4032
52	222	3978
53	224	3925
54	225	3875
55	227	3826
56	228	3777
57	230	3737
58	231	3693
59	233	3651
60	234	3608
61	235	3566
62	237	3529
63	238	3490
64	240	3453
65	241	3417
66	242	3382
67	243	3340
68	245	3306
69	246	3275
70	248	3245
71	249	3215
72	250	3184
73	252	3154
74	253	3124
75	254	3096
76	256	3071
77	257	3045
78	259	3019
79	260	2995
80	262	2972
81	263	2948
82	264	2925
83	266	2902
84	267	2874
85	268	2853
86	269	2827
87	270	2806
88	272	2785
89	273	2766
90	275	2747
91	276	2729
92	277	2711
93	279	2692
94	280	2674
95	282	2657
96	283	2639
97	284	2622
98	286	2605
99	287	2588
100	289	2574
101	290	2553
102	291	2537
103	292	2523
104	294	2509
105	295	2493
106	297	2479
107	298	2464
108	299	2450
109	301	2436
110	302	2422
111	303	2410
112	305	2397
113	306	2384
114	308	2372
115	309	2359
116	311	2347
117	312	2335
118	313	2320
119	314	2308
120	316	2296
121	317	2286
122	318	2270
123	319	2259
124	321	2248
125	322	2239
126	324	2229
127	325	2215
128	326	2206
129	328	2196
130	329	2185
131	330	2175
132	332	2165
133	333	2155
134	334	2145
135	336	2136
136	337	2126
137	338	2115
138	340	2106
139	341	2097
140	342	2089
141	344	2081
142	345	2072
143	347	2064
144	348	2055
145	349	2047
146	351	2038
147	352	2030
148	354	2021
149	355	2013
150	356	2005
151	358	1997
152	359	1991
153	361	1984
154	362	1977
155	364	1970
156	365	1963
157	367	1955
158	368	1949
159	370	1943
160	371	1936
161	373	1929
